student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
4051,14,18.8,21.5,105331,75743,66436,93.8,3906,7142,8677.865366,10,29,71.2,63,82.8,13,386,99.7,882,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
11502,20,18.8,21.5,136546,75743,66436,72.7,2157,6088,24136,29,53,35.1,80,92.4,13,106,56,1376,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
322,29,17.8,22.5,58414,92268,101725,62.7,294,2540,302,0,66,68.4,37,67.2,16,252,100,3,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5696,20,18.8,21.5,64418,75743,66436,74.4,5000,6647,11502,16,48,32.8,81,65.5,13,106,43.1,759,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5356,11,18.8,21.5,132407,75743,66436,91,5035,7256,13202,8,25,82.7,62,67,13,386,88,1351,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2552,18,18.8,21.5,75350,75743,66436,90.2,2157,10390,19469,42,66,21.1,87,69.5,13,96,75.9,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1906,15,15.9,22.79326963,57572,42194,37780,50,1489,5057,229,7,9,65.1,42,38.3,25,289,66.7,594,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
4322,15,18.8,21.5,58541,75743,66436,69.4,3571,4327,10736,9,27,40.1,63,60.1,13,386,43.8,536,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2552,21,18.8,21.5,71999,75743,66436,91,2157,8875,22092,37,67,16.9,89,88.7,13,96,75.5,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1188,23,17.8,22.5,113677,92268,101725,98.2,1331,6254.176694,37598,53,61,21.4,80,71.7,16,252,88.9,449,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1837,13,15.9,22.79326963,60303,42194,37780,57.3,1431,4316,36,7,13,61.2,51,26.7,25,289,40.2,276,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
600,12,17.8,22.5,105461,92268,101725,90.5,515,4746,8677.865366,9,13,83.6,41,61.8,16,343,74.5,122,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
599,15,29.1,24.6,76191,17406,38763,51.9,577,4920,8677.865366,5,5,71.3,67,14.6,9,124,23,19,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2333,17,15.9,22.79326963,45911,42194,37780,56.5,2101,4936,428,8,12,51.2,54,41.6,25,289,43.6,520,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
4362,11,15.9,22.79326963,55426,42194,37780,59,3703,4817,8677.865366,9,10,48.9,52,38.1,25,99,54.6,1043,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2617,21,17.8,22.5,52010,92268,101725,68.9,2658,6697,5494,10,22,58.2,50,42.4,16,343,49.3,293,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5797,14,15.9,22.79326963,54629,42194,37780,54.9,4650,4849,649,7,14,60,55,46.3,25,128,59.4,1523,20,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4686,17,15.9,22.79326963,30885,42194,37780,49,3611,4941,33,2,14,55.5,56,59.8,25,289,53.7,953,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5281,18,15.9,22.79326963,42870,42194,37780,55.9,4486,4815,8677.865366,11,19,50.2,63,33.4,25,289,49.5,1086,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1745,23,15.9,22.79326963,43923,42194,37780,61.2,1574,4952,8677.865366,10,24,76.9,53,48.2,25,289,51.4,415,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
320,21,29.1,24.6,24343,17406,38763,50,338,3781,8677.865366,0,22,63.7,50,30.8,9,343,60.6,9,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1110,22,17.8,22.5,76919,92268,101725,81.3,1078,11447,41486,30,43,43,62,36.6,16,343,72,257,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1383,19,15.9,22.79326963,86504,42194,37780,45.9,921,3385,8677.865366,15,15,58.7,42,37,25,111,26.5,228,20,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7588,18,18.8,21.5,51692,75743,66436,76.2,6856,6289,1488,10,30,46.1,71,65.2,13,386,63.2,1252,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1091,20,15.9,22.79326963,40726,42194,37780,56.6,935,4363,344,13,29,52.8,51,48.6,25,111,50.8,264,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8542,15,15.9,22.79326963,32495,42194,37780,33.8,6041,3989,196,1,6,35.8,52,32.1,25,125,33.6,1301,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
11186,12,15.9,22.79326963,32165,42194,37780,38,7911,4589,8677.865366,6,13,40.3,57,30,25,128,40.9,1432,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
347,14,17.8,22.5,112204,92268,101725,75.5,343,6254.176694,44004,38,40,47.9,59,45.9,16,252,78.2,79,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3028,13,15.9,22.79326963,47256,42194,37780,59,2695,4127,8677.865366,18,18,68.2,52,39.2,25,125,53.6,1044,20,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1999,15,18.8,21.5,40841,75743,66436,84.8,1744,4474,97,17,29,56,57,50.8,13,386,58.6,285,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1570,20,15.9,22.79326963,35010,42194,37780,61.9,1338,4822,8677.865366,13,20,57.5,57,54.8,25,111,52.7,433,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
418,26,15.9,22.79326963,123613,42194,37780,98.3,422,9624,6554,23,24,44.2,38,75,25,111,81.7,229,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1666,12,17.8,22.5,115329,92268,101725,94.7,1681,6699,10086,6,21,82.3,54,77.7,16,343,98.1,486,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1481,21,17.8,22.5,51098,92268,101725,84.9,1341,8727,14086,32,49,50.3,77,58.2,16,343,63.4,207,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2618,15,18.8,21.5,88163,75743,66436,89.8,2455,7109,5870,23,44,41.4,73,57.6,13,169,98.2,483,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3854,16,15.9,22.79326963,33524,42194,37780,47.7,2702,3729,278,2,12,52.3,52,50.3,25,289,51.5,834,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5881,17,18.8,21.5,48127,75743,66436,81.5,5292,4620,4290,12,32,41.9,70,68.9,13,386,59.6,1023,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2834,23,15.9,22.79326963,18843,42194,37780,51.2,2409,4890,33,9,24,62.8,61,36,25,289,54.6,671,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1861,16,17.8,22.5,86114,92268,101725,95.2,1777,6868,5665,18,36,50.7,78,76.9,16,343,80.2,451,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1349,19,15.9,22.79326963,52935,42194,37780,65.7,1124,4750,8677.865366,17,23,56,56,36.8,25,111,63.1,432,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
102,9,20.95158467,22.79326963,50052,24274,24795,100,133,4221,8677.865366,15,25,64.5,83,80,5,517,19,114,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
517,25,15.9,22.79326963,36428,42194,37780,50.3,673,4162,8677.865366,19,34,70.1,48,66.7,25,111,35.9,105,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3896,11,15.9,22.79326963,80555,42194,37780,55.7,2822,4061,53,7,11,63.5,41,53.8,25,125,36.8,556,20,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
3013,19,17.8,22.5,85883,92268,101725,94.6,3100,13261,8677.865366,48,69,14.9,86,63.7,16,169,84.4,711,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
